location,latitude,longitude,traffic_density,accident_history,traffic_violations,current_incidents,police_officers,road_obstruction,weather_risk,peak_activity
Sitabuldi Junction,21.1458,79.0882,92,82,88,1,3,35,20,95
Sadar,21.1631,79.0796,84,70,76,0,2,25,18,88
Medical Square,21.1284,79.1036,89,86,82,1,2,30,22,92
Manish Nagar,21.1056,79.0745,78,62,70,0,1,20,18,85
Wardha Road,21.1125,79.0815,91,75,85,1,3,28,20,94
Ajni Square,21.1250,79.0870,86,68,79,0,2,22,17,90
Dharampeth,21.1410,79.0565,72,55,63,0,2,15,15,78
Bardi,21.1538,79.0820,88,73,81,1,2,32,19,91
Mahal,21.1447,79.0986,76,64,69,0,1,18,16,80
Gandhibagh,21.1470,79.1020,82,67,74,0,1,24,17,84
Mominpura,21.1550,79.0990,74,61,71,0,1,27,18,79
Kalamna,21.1725,79.1260,80,72,77,1,2,35,21,86
Automotive Square,21.1795,79.1245,94,80,91,1,3,38,22,96
Indora Square,21.1808,79.0985,81,69,75,0,2,26,19,87
Kamptee Road,21.1880,79.1160,87,77,83,1,2,34,21,93
Hingna T Point,21.0925,78.9860,70,58,66,0,1,20,20,76
Hingna Road,21.1020,79.0000,79,65,72,0,1,23,19,82
Mihan,21.0600,79.0500,68,52,61,0,2,18,21,74
Airport Road,21.0910,79.0580,73,57,65,0,2,16,18,80
Chhatrapati Square,21.1085,79.0770,85,71,80,1,2,25,20,89
Pratap Nagar,21.1180,79.0650,77,63,70,0,1,19,17,83
Trimurti Nagar,21.1165,79.0420,69,50,60,0,1,15,16,75
Laxmi Nagar,21.1230,79.0600,75,59,68,0,2,17,15,79
Ramdaspeth,21.1350,79.0820,83,66,73,0,2,21,17,86
Law College Square,21.1320,79.0540,79,62,71,0,1,18,16,82
Ambazari,21.1400,79.0500,65,48,57,0,1,14,18,72
Futala,21.1530,79.0420,67,45,55,0,1,12,19,70
Wadi,21.1535,78.9990,71,60,64,0,1,22,20,77
Koradi T Point,21.2500,79.1050,83,74,78,1,2,31,22,89
Pardi Square,21.1750,79.1350,86,76,84,0,2,29,20,91
